timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignored,current_price,24h_change,period_change,period_high,period_low,average_volume,rsi_14,rsi_30,rsi_50,macd,signal,histogram,macd_signal,ma_10,price_ma10_diff,ma_50,price_ma50_diff,ma_200,price_ma200_diff,current_support,current_resistance,major_resistance,weak_resistance,first_target,middle_point,strong_support,major_support,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,ichimoku_status,atr,suggested_stop_loss,risk_reward_target,patterns,current_signals,overall_recommendation,EMA9_scalping,EMA21_scalping,RSI7_scalping,RSI9_scalping,VWAP_scalping,Stoch_Fast_K_scalping,Stoch_Fast_D_scalping,SMA20_swing,EMA50_swing,RSI14_swing,ADX_swing,Stoch_Slow_K_14_3_3_swing,Stoch_Slow_D_14_3_3_swing,Tenkan-sen_scalping,Kijun-sen_scalping,Senkou_Span_A_scalping,Senkou_Span_B_scalping,Cloud_Status_scalping,Tenkan_Kijun_Signal_scalping,Tenkan-sen_swing,Kijun-sen_swing,Senkou_Span_A_swing,Senkou_Span_B_swing,Cloud_Status_swing,Tenkan_Kijun_Signal_swing,Current_Support,Current_Resistance,Major_Resistance,Weak_Resistance,Strong_Support,Major_Support,Entry_Price_scalping,Stop_Loss_scalping,Take_Profit_scalping,Entry_Price_swing,Stop_Loss_swing,Take_Profit_swing
2024-01-01 00:00:00,1.3e-06,1.33e-06,1.28e-06,1.29e-06,1527920075555.0,1704081599999,1986794.43279016,5386,610589998973.0,796260.10113092,0,1.29e-06,0.0,0.0,,,,,,,0.0,0.0,0.0,BEARISH,,,,,,,,,,,,,,,,,,,NEUTRAL,,,,['SHOOTING_STAR'],['MACD_BEARISH'],STRONG_SELL,,,,,,,,,,,0.0,,,,,,,Price In Cloud (Neutral),Bearish,,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.29e-06,1.2642e-06,1.3674e-06,1.29e-06,1.2642e-06,1.3674e-06
2024-01-01 04:00:00,1.29e-06,1.31e-06,1.26e-06,1.3e-06,1829161660547.0,1704095999999,2335714.37265539,5385,620832648122.0,796375.99199684,0,1.3e-06,0.0,0.7751937984496138,,,,,,,7.977207977208545e-10,1.595441595441709e-10,6.381766381766836e-10,BULLISH,,,,,,,,,,,,,,,,,,,NEUTRAL,,,,['HAMMER'],['MACD_BULLISH'],STRONG_SELL,,,,,,,,,,,0.0,,,,,,,Price In Cloud (Neutral),Bearish,,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.3e-06,1.274e-06,1.3780000000000002e-06,1.3e-06,1.274e-06,1.3780000000000002e-06
2024-01-01 08:00:00,1.3e-06,1.32e-06,1.29e-06,1.31e-06,737689712007.0,1704110399999,962179.74857085,2586,428026219342.0,560599.20743803,0,1.31e-06,0.0,0.7692307692307665,,,,,,,2.211345687129141e-09,5.699044650611648e-10,1.641441222067976e-09,BULLISH,,,,,,,,,,,,,,,,,,,NEUTRAL,,,,['NONE'],['MACD_BULLISH'],STRONG_SELL,,,,,,,,,,,0.0,,,,,,,Price In Cloud (Neutral),Bearish,,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.31e-06,1.2837999999999999e-06,1.3886e-06,1.31e-06,1.2837999999999999e-06,1.3886e-06
2024-01-01 12:00:00,1.32e-06,1.34e-06,1.31e-06,1.34e-06,1328858525232.0,1704124799999,1757214.36573892,4233,745393965477.0,987531.06397778,0,1.34e-06,0.0,2.2900763358778775,,,,,,,5.686848427410649e-09,1.593293257531062e-09,4.093555169879587e-09,BULLISH,,,,,,,,,,,,,,,,,,,NEUTRAL,,,,['NONE'],['MACD_BULLISH'],STRONG_SELL,,,,,,,,,,,0.0,,,,,,,Price In Cloud (Neutral),Bearish,,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.34e-06,1.3132e-06,1.4204000000000002e-06,1.34e-06,1.3132e-06,1.4204000000000002e-06
2024-01-01 16:00:00,1.33e-06,1.36e-06,1.32e-06,1.35e-06,1286650500357.0,1704139199999,1724949.77767248,4398,923354184084.0,1239256.69191581,0,1.35e-06,0.0,0.746268656716409,,,,,,,9.142734068059368e-09,3.1031814196367235e-09,6.0395526484226455e-09,BULLISH,,,,,,,,,,,,,,,,,,,NEUTRAL,,,,['NONE'],['MACD_BULLISH'],STRONG_SELL,,,,,,90.00000000000009,,,,,0.0,,,,,,,Price In Cloud (Neutral),Bearish,,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.35e-06,1.3229999999999999e-06,1.4310000000000001e-06,1.35e-06,1.3229999999999999e-06,1.4310000000000001e-06
2024-01-01 20:00:00,1.36e-06,1.41e-06,1.35e-06,1.41e-06,4154883554224.0,1704153599999,5760830.74872863,13130,2698781467737.0,3746045.48864071,0,1.41e-06,0.0,4.444444444444451,1.41e-06,1.26e-06,1810860671320.3333,,,,1.6532470862664113e-08,5.789039308242201e-09,1.0743431554421907e-08,BULLISH,,,,,,,,,,,,,,,,,,,NEUTRAL,,,,['NONE'],['MACD_BULLISH'],STRONG_SELL,,,,,,100.0,,,,,0.0,,,1.335e-06,,,,Price In Cloud (Neutral),Bearish,,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.41e-06,1.3818e-06,1.4946e-06,1.41e-06,1.3818e-06,1.4946e-06
2024-01-02 00:00:00,1.41e-06,1.44e-06,1.39e-06,1.43e-06,4384861594446.0,1704167999999,6234226.18360523,12785,2433472841425.0,3465322.03304365,0,1.43e-06,10.852713178294591,1.4184397163120588,1.44e-06,1.26e-06,2287017591135.5,,,,2.372918805658316e-08,9.377069057910393e-09,1.4352118998672764e-08,BULLISH,,,,,,,,,,,,,,,,,,,NEUTRAL,,,,['NONE'],['MACD_BULLISH'],STRONG_SELL,,,100.0,,,93.3333333333334,94.4444444444445,,,,0.0,,,1.35e-06,,,,Price In Cloud (Neutral),Bearish,,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.43e-06,1.4014e-06,1.5158000000000002e-06,1.43e-06,1.4014e-06,1.5158000000000002e-06
2024-01-02 04:00:00,1.43e-06,1.43e-06,1.38e-06,1.4e-06,1292205506012.0,1704182399999,1812459.9216874,4792,499064038044.0,700458.35939562,0,1.4e-06,7.692307692307687,-2.0979020979021046,1.44e-06,1.29e-06,2197524898713.0,,,,2.670406120786941e-08,1.2842467487902198e-08,1.3861593719967212e-08,BULLISH,,,,,,,,,,,,,,,,,,,NEUTRAL,,,,['NONE'],['MACD_BULLISH'],STRONG_SELL,,,75.47165090848434,,,69.23076923076921,87.52136752136754,,,,0.0,,,1.365e-06,,,,Price In Cloud (Neutral),Bearish,,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.4e-06,1.372e-06,1.4840000000000001e-06,1.4e-06,1.372e-06,1.4840000000000001e-06
2024-01-02 08:00:00,1.4e-06,1.43e-06,1.38e-06,1.4e-06,2375348438413.0,1704196799999,3344418.99681536,8422,971094946980.0,1369778.96186959,0,1.4e-06,6.870229007633588,0.0,1.44e-06,1.31e-06,2470468019780.6665,,,,2.8730482494969706e-08,1.60200704893157e-08,1.2710412005654006e-08,BULLISH,,,,,,,,,,,,,,,1.35e-06,,,,NEUTRAL,,,,['DOJI'],['MACD_BULLISH'],STRONG_SELL,1.3694680064000003e-06,,75.47165090848434,77.17231112733187,,66.66666666666661,76.41025641025641,,,,0.0,,,1.375e-06,,,1.35e-06,Price In Cloud (Neutral),Bearish,1.35e-06,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.4e-06,1.372e-06,1.4840000000000001e-06,1.4e-06,1.372e-06,1.4840000000000001e-06
2024-01-02 12:00:00,1.4e-06,1.41e-06,1.35e-06,1.37e-06,2926637612657.0,1704211199999,4036543.09063308,11009,1250419832918.0,1730482.15596481,0,1.37e-06,2.238805970149249,-2.1428571428571352,1.44e-06,1.32e-06,2736764534351.5,,,,2.7597559201444653e-08,1.8335568231741492e-08,9.26199096970316e-09,BULLISH,1.36e-06,0.7352941176470517,,,,,,,,,,,,,1.35e-06,,,,NEUTRAL,,,,['NONE'],['MACD_BULLISH'],STRONG_SELL,1.3695744051200002e-06,,56.58146977201872,59.873951835186496,,22.22222222222225,52.70655270655269,,,,0.0,,,1.38e-06,,,1.35e-06,Price In Cloud (Neutral),Bearish,1.35e-06,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.37e-06,1.3426e-06,1.4522e-06,1.37e-06,1.3426e-06,1.4522e-06
2024-01-02 16:00:00,1.36e-06,1.38e-06,1.34e-06,1.36e-06,1936056931779.0,1704225599999,2632519.47678594,6782,827235950388.0,1128443.80826697,0,1.36e-06,0.7407407407407307,-0.7299270072992803,1.44e-06,1.34e-06,2844998939588.5,,,,2.5597718339549672e-08,1.9787998253303133e-08,5.809720086246543e-09,BULLISH,1.367e-06,-0.5120702267739651,,,,,,,,,,,,,1.365e-06,,,,NEUTRAL,,,,['DOJI'],['MACD_BULLISH'],STRONG_SELL,1.3676595240960001e-06,,51.56252956155437,55.231360902345905,,19.99999999999983,36.29629629629623,,,,0.0,,,1.39e-06,,,1.365e-06,Price In Cloud (Neutral),Bearish,1.365e-06,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.36e-06,1.3328e-06,1.4415999999999999e-06,1.36e-06,1.3328e-06,1.4415999999999999e-06
2024-01-02 20:00:00,1.36e-06,1.37e-06,1.32e-06,1.34e-06,2222352024529.0,1704239999999,2967929.85773614,6879,1416763014977.0,1892448.81436314,0,1.34e-06,-4.964539007092195,-1.470588235294101,1.44e-06,1.32e-06,2522910351306.0,,,,2.214373796809864e-08,2.0259146196262232e-08,1.884591771836408e-09,BULLISH,1.371e-06,-2.261123267687804,,,,,,,,,,,,,1.375e-06,,,,NEUTRAL,,,,['NONE'],['MACD_BULLISH'],STRONG_SELL,1.3621276192768002e-06,,42.72051775823226,47.02687885284437,,18.181818181818198,20.134680134680092,,,,0.0,,,1.38e-06,,,1.375e-06,Price In Cloud (Neutral),Bearish,1.375e-06,,,,Price In Cloud (Neutral),Bearish,,,,,,,1.34e-06,1.3132e-06,1.4204000000000002e-06,1.34e-06,1.3132e-06,1.4204000000000002e-06
